Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
11,NCT03532516,Compassionate Use Program With Brivaracetam for the Treatment of Patients With Epilepsy,,Available,No Results Available,Epilepsy,Drug: Brivaracetam,,UCB Biopharma S.P.R.L.|UCB Pharma,All,"16 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,N01317,null,null,null,22-May-18,null,22-May-18,,,https://ClinicalTrials.gov/show/NCT03532516
12,NCT03503890,Expanded Access to Rovalpituzumab Tesirine,,Available,No Results Available,Small Cell Lung Cancer,Drug: rovalpituzumab tesirine,,AbbVie,All,"18 Years to 99 Years   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients|Intermediate-size Population""",,C18-915,null,null,null,20-Apr-18,null,12-Jun-18,,,https://ClinicalTrials.gov/show/NCT03503890
13,NCT03501940,F18 DCFPyL PET/CT in Imaging Participants With Recurrent Prostate Cancer,,Available,No Results Available,Prostate Adenocarcinoma|PSA Level Greater Than 0.2|PSA Level Greater Than or Equal to Two|PSA Progression|Recurrent Prostate Carcinoma,Procedure: Computed Tomography|Radiation: Fluorine F 18 DCFPyL|Other: Laboratory Biomarker Analysis|Procedure: Positron Emission Tomography,,Andrei Iagaru|Stanford University,All,"18 Years and older   (Adult, Older Adult)",,null,Other,"Expanded Access:Intermediate-size Population""",,PROS0083|NCI-2018-00479|IRB-42701,null,null,null,18-Apr-18,null,4-Jun-18,"Stanford Cancer Institute Palo Alto, Palo Alto, California, United States",,https://ClinicalTrials.gov/show/NCT03501940
14,NCT03501615,An Early Access Programme for Moxetumomab Pasudotox in Relapsed/Refractory Hairy Cell Leukemia,MOXE,Available,No Results Available,Relapsed/Refractory Hairy Cell Leukemia,Drug: Moxetumomab Pasudotox,,AstraZeneca,All,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,D3143R00002,null,null,null,18-Apr-18,null,18-Apr-18,,,https://ClinicalTrials.gov/show/NCT03501615
15,NCT03493165,"Expanded Access to Everolimus, for an Individual Patient With Uterine Sarcoma (CTMS#18-0020)",,Available,No Results Available,,Drug: Everolimus,,The University of Texas Health Science Center at San Antonio,Female,"18 Years and older   (Adult, Older Adult)",,null,Other,"Expanded Access:Individual Patients""",,CTMS# 18-0020,null,null,null,10-Apr-18,null,10-Apr-18,,,https://ClinicalTrials.gov/show/NCT03493165
16,NCT03493152,"Expanded Access to Everolimus, for an Individual Patient With GIST (Gastrointestinal Stromal Tumors)(CTMS#18-0019)",,Available,No Results Available,Gastrointestinal Stromal Tumor,Drug: Everolimus,,The University of Texas Health Science Center at San Antonio,Female,"18 Years and older   (Adult, Older Adult)",,null,Other,"Expanded Access:Individual Patients""",,CTMS# 18-0019,null,null,null,10-Apr-18,null,10-Apr-18,,,https://ClinicalTrials.gov/show/NCT03493152
17,NCT03492489,Expanded Access Protocol for Cemiplimab in Metastatic or Locally Advanced Cutaneous Squamous Cell Carcinoma,,Available,No Results Available,Cutaneous Squamous Cell Carcinoma,Drug: cemiplimab,,Regeneron Pharmaceuticals|Sanofi,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population|Treatment IND/Protocol""",,R2810-ONC-17103,null,null,null,10-Apr-18,null,25-Apr-18,,,https://ClinicalTrials.gov/show/NCT03492489
18,NCT03462810,"GSK1265744 (Cabotegravir, CAB) for Named Patient/Compassionate Use in HIV",,Available,No Results Available,"Infection, Human Immunodeficiency Virus","Drug: cabotegravir, CAB",,ViiV Healthcare,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,205741,null,null,null,13-Mar-18,null,13-Mar-18,"GSK Investigational Site, San Francisco, California, United States|GSK Investigational Site, Atlanta, Georgia, United States|GSK Investigational Site, Durham, North Carolina, United States|GSK Investigational Site, Bellaire, Texas, United States|GSK Investigational Site, Edmonton, Alberta, Canada|GSK Investigational Site, Colombes, France|GSK Investigational Site, Setúbal, Portugal|GSK Investigational Site, Zurich, Switzerland|GSK Investigational Site, Tooting, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT03462810
19,NCT03439475,AMG 714 Expanded Access Program,,Available,No Results Available,,Biological: AMG 714,,Amgen,null,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,AMG714 Expanded Access Program,null,null,null,20-Feb-18,null,22-Feb-18,,,https://ClinicalTrials.gov/show/NCT03439475
20,NCT03433807,Expanded Access Program for Idebenone in Participants With Duchenne Muscular Dystrophy (DMD),,Available,No Results Available,Duchenne Muscular Dystrophy,Drug: Idebenone,,Santhera Pharmaceuticals,All,"10 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population""",,SNT-EAP-002,null,null,null,15-Feb-18,null,15-Feb-18,,,https://ClinicalTrials.gov/show/NCT03433807
21,NCT03433131,Expanded Access Program to Provide Treatment With Pitolisant to Adult Patients in the U.S. With Excessive Daytime Sleepiness Associated With Narcolepsy With or Without Cataplexy,,Available,No Results Available,Narcolepsy Without Cataplexy|Narcolepsy With Cataplexy,Drug: Pitolisant,,"Harmony Biosciences, LLC",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,HBS-101-CL-001,null,null,null,14-Feb-18,null,9-May-18,"Sleep Disorders Center of Alabama, Birmingham, Alabama, United States|Sleep Medicine Specialists of California, San Ramon, California, United States|NeuroTrials Research Center, Atlanta, Georgia, United States|The Neurological Center of North Georgia, Gainesville, Georgia, United States|Montefiore Medical Center, Bronx, New York, United States|Ohio Sleep Medicine Institute, Dublin, Ohio, United States|Bogan Sleep Consultants, Columbia, South Carolina, United States|Sleep Medicine Associates of Texas, Dallas, Texas, United States|Houston Neurology & Sleep Center, Houston, Texas, United States|Children's Hospital of The King's Daughters, Norfolk, Virginia, United States",,https://ClinicalTrials.gov/show/NCT03433131
22,NCT03420430,Expanded Access to Provide GL-ONC1 for the Treatment of Advanced Cancers With No Standard of Care,,Available,No Results Available,Advanced Stage Cancer (Solid Tumor Disease for 4 Patients)|Acute Myeloid Leukemia (6 Patients),Biological: GL-ONC1,,Genelux Corporation,All,"21 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,GL-ONC1-021,null,null,null,2-Feb-18,null,2-Feb-18,"Florida Hospital Cancer Institute, Orlando, Florida, United States",,https://ClinicalTrials.gov/show/NCT03420430
23,NCT03419949,Comparison of Oral Lamotrigine and Oral Pregabalin for Control of Acute and Chronic Pain,,Available,No Results Available,Acute and Chronic Pain Following Modified Radical Mastectomy,Drug: oral lamotrigine 100 mg|Drug: oral pregabalin 150 mg,,Assiut University,Female,18 Years to 60 Years   (Adult),,null,Other,"Expanded Access:Individual Patients""",,Comparison of oral lamotrigine,null,null,null,2-Feb-18,null,6-Feb-18,"Salma Komy, Assiut, Egypt",,https://ClinicalTrials.gov/show/NCT03419949
24,NCT03414489,Expanded Access for the Treatment of Advanced Cholangiocarcinoma With ABC294640 (Yeliva ®),,Available,No Results Available,"Cholangiocarcinoma|Cholangiocarcinoma Non-resectable|Cholangiocarcinoma, Perihilar|Cholangiocarcinoma, Extrahepatic|Cholangiocarcinoma, Intrahepatic",Drug: ABC294640,,RedHill Biopharma Limited,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,ABC-108-EA,null,null,null,30-Jan-18,null,30-Jan-18,,,https://ClinicalTrials.gov/show/NCT03414489
25,NCT03412539,Mechanism of Effectiveness of Neurosurgery Treatments for Durable Pain,,Available,No Results Available,Oncology Problem,,,Tel-Aviv Sourasky Medical Center|University of Haifa,All,"18 Years to 90 Years   (Adult, Older Adult)",,null,Other,"Expanded Access:Individual Patients""",,TASMC-0354-17-TLV,null,null,null,26-Jan-18,null,26-Jan-18,"Neurosurgery, Tel-Aviv Sourasky MC, Tel Aviv, Israel",,https://ClinicalTrials.gov/show/NCT03412539
26,NCT03409081,Early Access Program (EAP) of Gilteritinib (ASP2215) in Patients With FMS-like Tyrosine Kinase 3 (FLT3) Mutated Relapsed or Refractory Acute Myeloid Leukemia (AML) or With FLT3-Mutated AML in Complete Remission (CR) With Minimal Residual Disease (MRD),,Available,No Results Available,Acute Myeloid Leukemia (AML)|FMS-like Tyrosine Kinase-3 (FLT3) Mutations,Drug: gilteritinib,,"Astellas Pharma Global Development, Inc.|Astellas Pharma Inc",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,2215-CL-9200,null,null,null,24-Jan-18,null,8-May-18,,,https://ClinicalTrials.gov/show/NCT03409081
27,NCT03400098,ATTR Expanded Access Program (EAP) by Ionis,,Available,No Results Available,"Amyloidosis, Hereditary",Drug: Inotersen,,"Ionis Pharmaceuticals, Inc.|Clinigen Group PLC",All,"18 Years and older   (Adult, Older Adult)",,null,Industry|Other,"Expanded Access:Treatment IND/Protocol""",,ISIS 420915-CS5,null,null,null,17-Jan-18,null,12-Jun-18,"Mayo Clinic Cancer Center, Scottsdale, Arizona, United States|University of California - Irvine, Irvine, California, United States|Cedars-Sinai, Los Angeles, California, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|SC3 Research - Pasadena, Pasadena, California, United States|University of California - San Francisco, San Francisco, California, United States|Mayo Clinic Cancer Center, Jacksonville, Florida, United States|Cancer Specialists of North Florida, Jacksonville, Florida, United States|Northwestern University, Evanston, Illinois, United States|Indiana University School of Medicine, Indianapolis, Indiana, United States|Ochsner Medical Center, New Orleans, Louisiana, United States|Johns Hopkins University School of Medicine, Baltimore, Maryland, United States|Boston University Medical Center, Boston, Massachusetts, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|Washington University, Saint Louis, Missouri, United States|The Neurological Institute at Columbia University Medical Center, New York, New York, United States|University of North Carolina - Chapel Hill, Department of Neurology, Chapel Hill, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|Oregon Health and Science University, Knight Cardiovascular Institute, Portland, Oregon, United States|Penn Presbyterian Medical Center - University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh Physicians, Department of Neurology, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|University of Utah - Huntsman Cancer Institute, Salt Lake City, Utah, United States|Virginia Commonwealth University, Richmond, Virginia, United States",,https://ClinicalTrials.gov/show/NCT03400098
28,NCT03395769,"Individual Patient Expanded Access for AB-SA01, an Investigational Anti-Staphylococcus Aureus Bacteriophage Therapeutic",,Available,No Results Available,,Biological: AB-SA01,,AmpliPhi Biosciences Corporation,null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,AB-SA01-EAP01,null,null,null,10-Jan-18,null,10-Jan-18,,,https://ClinicalTrials.gov/show/NCT03395769
29,NCT03395743,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic",,Available,No Results Available,,Biological: AB-PA01,,AmpliPhi Biosciences Corporation,null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,AB-PA01-EAP01,null,null,null,10-Jan-18,null,10-Jan-18,,,https://ClinicalTrials.gov/show/NCT03395743
30,NCT03386071,Compassionate Use: Progressive Metastatic Castrate Resistant Prostate Cancer; Monotherapy Treatment With Trametinib,,Available,No Results Available,Progressive Metastatic Castrate Resistant Prostate Cancer,Drug: Trametinib 2 mg,,Jonsson Comprehensive Cancer Center|Novartis,Male,"18 Years and older   (Adult, Older Adult)",,null,Other|Industry,"Expanded Access:Individual Patients""",,17-001886|Compassionate Use Trametinib,null,null,null,29-Dec-17,null,4-Jan-18,,,https://ClinicalTrials.gov/show/NCT03386071
31,NCT03363334,Expanded Access of Fostamatinib in Patients With Persistent or Chronic Relapsing/Refractory ITP,,Approved for marketing,No Results Available,Immune Thrombocytopenic Purpura,Drug: Fostamatinib disodium 100 mg|Drug: Fostamatinib disodium 150 mg,,Rigel Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population""",,C-935788-055,null,null,null,6-Dec-17,null,21-Jun-18,,,https://ClinicalTrials.gov/show/NCT03363334
32,NCT03362736,An Early Access Program For Ustekinumab In Participants With Moderately To Severely Active Crohn's Disease,,Available,No Results Available,Crohn Disease,Drug: Ustekinumab,,"Janssen Research & Development, LLC",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,CR108395|CNTO1275CRD3006,null,null,null,5-Dec-17,null,19-Apr-18,"Hospital Nossa Senhora Das Gracas, Curitiba, Brazil|Endogastro Clínica de Gastroenterologia e Endoscopia Digestiva Lida, Juiz De Fora, Brazil|Instituto do Aparelho Digestivo, Porto Alegre, Brazil|Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto da Universidade de Sao Paulo, Ribeirão Preto, Brazil|UFRJ-Hospital Universitário Clementino Fraga Filho, Rio De Janeiro, Brazil|Hospital Copa D'Or, Rio De Janeiro, Brazil|Hospital Das Clinicas Da Faculdade De Medicina Da USP, São Paulo, Brazil|Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein, São Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT03362736
33,NCT03327467,Expanded Access Protocol: Umbilical Cord Blood Infusions for Children With Brain Injuries,,Available,No Results Available,"Autism Spectrum Disorder|Autism|Cerebral Palsy|Hydrocephalus|Apraxia of Speech|Hypoxia Ischemia, Cerebral|Drowning; Anoxia",Biological: Cord Blood Infusion,,"Joanne Kurtzberg, MD|Duke University",All,"up to 18 Years   (Child, Adult)",,null,Other,"Expanded Access:Treatment IND/Protocol""",,Pro00083888,null,null,null,31-Oct-17,null,16-Mar-18,,,https://ClinicalTrials.gov/show/NCT03327467
34,NCT03317366,Expanded Access to Provide ARQ 092 for the Treatment of Overgrowth Diseases and/or Vascular Anomalies,,Available,No Results Available,Proteus Syndrome|PIK3CA-Related Overgrowth Spectrum (PROS)|Growth Disorders,Drug: ARQ 092,,ArQule,All,"2 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,ARQ 092 Expanded Access,null,null,null,23-Oct-17,null,23-Oct-17,,,https://ClinicalTrials.gov/show/NCT03317366
35,NCT03278314,Tezacaftor/Ivacaftor Combination Therapy Expanded Access Program for Patients 12 Years of Age and Older With Cystic Fibrosis,,Available,No Results Available,Cystic Fibrosis,Drug: tezacaftor/ivacaftor,,Vertex Pharmaceuticals Incorporated,All,"12 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,VX17-661-901,null,null,null,11-Sep-17,null,11-Sep-17,,,https://ClinicalTrials.gov/show/NCT03278314
36,NCT03265171,A Single-patient Study of Repeat-dose Administration of Prometic Plasminogen (Human) Intravenous,,Available,No Results Available,Hypoplasminogenemia,Biological: Plasminogen (Human),,"ProMetic BioTherapeutics, Inc|Cedars-Sinai Medical Center|Vanderbilt University Medical Center",All,"16 Months and older   (Child, Adult, Older Adult)",,null,Industry|Other,"Expanded Access:Individual Patients""",,2002C013G,null,null,null,29-Aug-17,null,29-Aug-17,,,https://ClinicalTrials.gov/show/NCT03265171
37,NCT03259633,An Intermediate Access Protocol for Selumetinib for Treatment of Neurofibromatosis Type 1,,Available,No Results Available,NF type1 With Inoperable Plexiform Neurofibromas,Drug: Selumetinib,,AstraZeneca,All,"2 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population""",,D1346R00002,null,null,null,24-Aug-17,null,8-Jun-18,"Research Site, Birmingham, Alabama, United States|Research Site, Sacramento, California, United States|Research Site, San Francisco, California, United States|Research Site, Aurora, Colorado, United States|Research Site, Hartford, Connecticut, United States|Research Site, Washington, District of Columbia, United States|Research Site, Indianapolis, Indiana, United States|Research Site, New Orleans, Louisiana, United States|Research Site, New Orleans, Louisiana, United States|Research Site, Boston, Massachusetts, United States|Research Site, Ann Arbor, Michigan, United States|Research Site, Detroit, Michigan, United States|Research Site, Grand Rapids, Michigan, United States|Research Site, Minneapolis, Minnesota, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Lincoln, Nebraska, United States|Research Site, Albany, New York, United States|Research Site, Bronx, New York, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Durham, North Carolina, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Cleveland, Ohio, United States|Research Site, Columbus, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Portland, Oregon, United States|Research Site, Philadelphia, Pennsylvania, United States|Research Site, Memphis, Tennessee, United States|Research Site, Houston, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Richmond, Virginia, United States|Research Site, Madison, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT03259633
38,NCT03245528,Expanded Access for LJPC-501,,Approved for marketing,No Results Available,Catecholamine Resistant Hypotension (CRH)|Distributive Shock|High Output Shock|Sepsis|Vasodilatory Shock,Drug: LJPC-501,,La Jolla Pharmaceutical Company,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,LJ501-EAP01,null,null,null,10-Aug-17,null,8-Mar-18,,,https://ClinicalTrials.gov/show/NCT03245528
39,NCT03245424,Ivosidenib Expanded Access Program in Relapsed/Refractory AML With an IDH1 Mutation,,Available,No Results Available,Acute Myeloid Leukemia|Relapsed Adult AML|Relapsed Pediatric AML,Drug: ivosidenib (AG-120),,"Agios Pharmaceuticals, Inc.",All,"12 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,AG120-C-010,null,null,null,10-Aug-17,null,23-Feb-18,,,https://ClinicalTrials.gov/show/NCT03245424
40,NCT03206931,Expanded Access to Provide LOXO-195 for the Treatment of Cancers With a NTRK Gene Fusion,,Available,No Results Available,"Cancer|Neurotrophic Tyrosine Kinase, Receptor-related Proteins",Drug: LOXO-195,,"Loxo Oncology, Inc.|Bayer",All,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,LOXO-195 EAP,null,null,null,2-Jul-17,null,1-Mar-18,,,https://ClinicalTrials.gov/show/NCT03206931
41,NCT03196934,Expanded Use of Cannabidiol Oral Solution,,Available,No Results Available,Refractory Epilepsy,Drug: Cannabidiol oral solution,,Steven Phillips|MultiCare Health System Research Institute,All,"1 Year to 18 Years   (Child, Adult)",,null,Other,"Expanded Access:Intermediate-size Population""",,MulticareHSRI,null,null,null,23-Jun-17,null,23-Jun-17,,,https://ClinicalTrials.gov/show/NCT03196934
42,NCT03178071,Expanded Access For Lorlatinib For Patients With Non Small Cell Lung Cancer ALK Positive or ROS1 Positive,,Available,No Results Available,Non Small Cell Lung Cancer ALK Positive or ROS1 Positive,Drug: Lorlatinib,,Pfizer,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,B7461020,null,null,null,6-Jun-17,null,19-Jun-18,"Arizona Oncology Associates, PC - HAL, Sedona, Arizona, United States|Arizona Oncology Associates, PC - NAHOA, Sedona, Arizona, United States|Pacific Shores Medical Group, Huntington Beach, California, United States|Pacific Shores Medical Group, Irvine, California, United States|Pacific Shores Medical Group, Long Beach, California, United States|Pacific Shores Medical Group, Long Beach, California, United States|Kaiser Permanente, Oakland Medical Center, Oakland, California, United States|Chao Comprehensive Cancer Center, University of California Irvine, Orange, California, United States|Chao Comprehensive Cancer Center, Orange, California, United States|Kaiser Permanente, South Sacramento Medical Center, Sacramento, California, United States|Kaiser Permanente, San Francisco Medical Center, San Francisco, California, United States|Kaiser Permanente, Vallejo Medical Center, Vallejo, California, United States|Memorial Healthcare System/Memorial Cancer, Pembroke Pines, Florida, United States|The University of Chicago Medicine, Chicago, Illinois, United States|University of Chicago Medical Center, CCD, Chicago, Illinois, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Lawrence and Idell Weisberg Cancer Treatment Center (Weisberg), Farmington Hills, Michigan, United States|Robert Wood Johnson University Hospital,, New Brunswick, New Jersey, United States|Rutgers Cancer Institute of NJ, New Brunswick, New Jersey, United States|University of Rochester, Rochester, New York, United States|The Ohio State University, Columbus, Ohio, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03178071
43,NCT03177005,Expanded Access for Hereditary Angioedema (HAE),,Approved for marketing,No Results Available,,Biological: CSL830,,"Joshua S. Jacobs, MD|CSL Behring",null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,CSL830,null,null,null,6-Jun-17,null,31-Jul-17,,,https://ClinicalTrials.gov/show/NCT03177005
44,NCT03172455,Early Access Program Using Alpha 1 Antitrypsin Infusion for Patients With Steroid Refractory Acute GvHD After Hematopoietic Stem Cell Transplantation (HSCT),,Available,No Results Available,SR aGvHD|Acute-graft-versus-host Disease|Steroid Refractory Acute Graft Versus Host Disease|Graft-versus-host-disease|Graft Vs Host Disease|Alpha 1-Antitrypsin Deficiency|Alpha-1 Proteinase Inhibitor|Alpha-1 Protease Inhibitor Deficiency|Acute Graft-Versus-Host Reaction Following Bone Marrow Transplant,Drug: Glassia,,"Impatients N.V. trading as myTomorrows|Kamada, Ltd.",All,"Child, Adult, Older Adult",,null,Industry,Expanded Access,,2017-AATGLAKAM-EU,null,null,null,1-Jun-17,null,1-Jun-17,,,https://ClinicalTrials.gov/show/NCT03172455
