PharmagkbID	Drug Names	Approved
PA164747650	alclometasone|Alclometasone dipropionate|Aclovate	True
PA164712324	Aldehydes and derivatives	False
PA448081	aldesleukin|Interleukin-2 precursor|TCGF|IL-2|T-cell growth factor|Proleukin	True
PA164712325	Aldose reductase inhibitors	False
PA164924487	aldosterone|Aldocorten|Aldocortene|11beta,21-Dihydroxy-3,20-diketopregn-4-ene-18-al|11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al|Aldosterona [inn-spanish]|Aldocortin|18-Aldocorticosterone|18-Formyl-11beta,21-dihydroxy-4-pregnene-3,20-dione|Aldosteronum [inn-latin]|11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al|18-Oxocorticosterone|11beta,21-Dihydroxypregn-4-ene-3,18,20-trione|D-aldosterone|11beta,21-dihydroxy-3,20-dioxo-pregn-4-ene-18-al|Elektrocortin|11beta,21-Dihydroxy-3,20-diketo-4-pregnen-18-al|Electrocortin|(+)-aldosterone	False
PA164712326	Aldosterone antagonists	False
PA164748040	alefacept|Amevive|ASP0485	False
PA164783958	alemtuzumab|MabCampath|Campath	True
PA448082	alendronate|Alendronic acid|Acidum Alendronicum [INN-Latin]|Acido Alendronico [INN-Spanish]|Acide Alendronique [INN-French]|Alendronate Sodium|Alendros|Adronat|Arendal|Fosamax|Onclast|Fosamax Plus D	True
PA164746469	alfacalcidol|1alpha-hydroxyvitamin D3|1alpha-hydroxycholecalciferol|1-hydroxycholecalciferol|One Alpha|Alsiodol	False
PA448084	alfentanil|Alfentanyl|Alfentanilum [INN-Latin]|Alfenta	True
PA164774795	alfuzosin|Alfusosine|Uroxatral|Xatral	True
PA164748093	alglucerase|D-glucosyl-N-acylsphingosine glucohydrolase|Glucosylceramidase precursor|Acid beta-glucosidase|Beta-glucocerebrosidase|Ceredase	True
PA164754753	alglucosidase alfa|Myozyme	True
PA164712327	Alimentary Tract And Metabolism	False
PA143487910	aliskiren|Rasilez|SPP 100|Tekturna	True
PA164746900	alitretinoin|ALRT-1057|Retinoic Acid|BAL4079|9-cis-retinoic acid|Panretin Gel|Retin-A|Retin-A Micro|Panrexin|Panretin|Panretyn|Renova	True
PA164744894	alizapride|Alizapridum [inn-latin]|Alizaprida [inn-spanish]|Limican|Liticum	False
PA164712328	Alkaloids, excl. rauwolfia	False
PA164712329	Alkaloids, excl. rauwolfia, in combination with diuretics	False
PA164712330	Alkyl sulfonates	False
PA164712331	Alkylating Agents	False
PA164712332	All Other Non-therapeutic Products	False
PA164712334	All Other Therapeutic Products	False
PA164712336	Allergen extracts	False
PA164712337	Allergens	False
PA142320763	allopregnanolone	False
PA448320	allopurinol|Allopurinol Sodium|Allopurinolum [INN-Latin]|Alopurinol [INN-Spanish]|Urbol|Urolit|Uriprim|Urobenyl|Aloral|Anoprolin|Alositol|Atisuril|Dura Al|Lopurin|Embarin|Uripurinol|Miniplanor|Apo-Allopurinol|Aluline|Apurin|Suspendol|Ketobun-A|Allozym|Remid|Monarch|Apulonga|Urtias|Milurit|Dabroson|Riball|Adenock|Hexanuret|Aloprim|Zyloric|Purinol|Gotax|Urosin|Ledopur|Apurol|HPP|Urtias 100|Gichtex|Sigapurol|Ketanrift|Progout|Bloxanth|Allopur|Uritas|Epidropal|Epuric|Zyloprim|Allural|Takanarumin|Caplenal|Ailural|Allo-Puren|Cosuric|Allohexal|Bleminol|Xanturat|Anzief|Foligan|Geapur|Nektrohan|Dabrosin|Cellidrin|Uricemil|Lysuron|Hamarin|7HP	True
PA164745307	allylestrenol|Gestormone|Orageston|Gestanin|Turinal|Gestanon|Organon|Perselin|Gestanol	False
PA164750492	almitrine|Almitrine mesylate|Almitrine bismesylate|Almitrine dimesylate|Doxil|Vectarion|Duxil	False
PA133888888	almokalant	False
PA10246	almotriptan|Axert|Almogran	True
PA448322	aloe	False
PA164745502	alosetron|Alosetron HCl|Lotronex	True
PA452626	alox5-pathway modifiers	False
PA164712339	Alpha and beta blocking agents	False
PA164712340	Alpha and beta blocking agents and other diuretics	False
PA164712341	Alpha and beta blocking agents and thiazides	False
PA164712342	Alpha glucosidase inhibitors	False
PA164712343	Alpha- and beta-adrenoreceptor agonists	False
PA10308	alpha-1-proteinase inhibitor|Alpha-1-antitrypsin precursor|Alpha-1-antiproteinase|Alpha-1 protease inhibitor|Alpha 1-antitrypsin|Aralast|Prolastin	False
PA164712344	Alpha-adrenoreceptor antagonists	False
PA164712346	Alpha-adrenoreceptor antagonists and diuretics	False
PA449384	alpha-linolenic acid|9,12,15-Octadecatrienoic acid|alpha-Linolenate|ALA|(9Z,12Z,15Z)-Octadecatrienoic acid|linolenate	False
PA147358765	alpha-methyl-para-tyrosine	False
PA448333	alprazolam|TUS-1|Intensol|Trankimazin|Cassadan|Alpronax|D 65MT|Tranax|Xanor|Alplax|Esparon|Tafil|Bestrol|Restyl|Frontal|Tranquinal|Xanax XR|Xanax|Alviz|Solanax|Constan|Niravam	True
PA164750541	alprenolol|Alpheprol|Alfeprol [Russian]|Alprenololum [INN-Latin]|Aptine|Gubernal|Aptol Duriles|Regletin|Apllobal|Yobir	False
PA448334	alprostadil|Prostin VR|l-Prostaglandin E1|Befar|PGE1|Prostaglandin E1|Topiglan|Alista|Prostin VR Pediatric|Alprostadil Prostoglandin E1|Edex|Alprox-TD|Prink|Femprox|Caverject|Muse	True
PA164746411	alseroxylon|Rauwiloid|Rautensin	True
PA164776730	alteplase|tPA|t-plasminogen activator|Tissue-type plasminogen activator precursor|t-PA|Activase	True
PA164743136	altretamine|HTM|HEXAMETHYLMELAMINE|Altretaminum [INN-Latin]|HMM|HXM|Hemel|Hexastat|Hexalen	True
PA164760864	aluminium	False
PA164712347	Aluminium agents	False
PA164712348	Aluminium compounds	False
PA448348	aluminum chloride	False
PA165958393	aluminum hydroxide|AlternaGel|Amphojel|Alu-Cap	False
PA164764505	alverine|Di(phenylpropyl)ethylamine|N,N-Bis(3-phenylpropyl)ethylamine|N-Ethyl-3,3'-diphenyldipropylamine|Alverina [inn-spanish]|Alverine citrate|Alverinum [inn-latin]|Phenpropamine|N-Ethyl-bis(3-phenylpropyl)amin|N-Ethyl-3-phenyl-N-(3-phenylpropyl)-1-propanamine|N-Ethyl-N-(3-phenylpropyl)benzenepropanamine|Phenopropamine|Bis(gamma-phenylpropyl)ethylamine|Antispasmin|Spasmaverine|Dipropyline|Gamatran citrate|Sestron|Spacolin|Dipropylin|Profenil	False
PA165291491	alvespimycin	False
PA164754864	alvimopan|ADL 8-2698|Entereg	True
PA448360	amantadine|Adamantylamine|Adamantanamine|amantadine hydrochloride|Amantadine HCL|1-aminoadamantane|Amantadine Base|Amantidine|Aminoadamantane|Adamantamine|Gen-Amantadine|Endantadine|Pk-Merz|Mantadine|Symadine|Symmetrel	True
PA164764601	ambenonium|Ambenonum|Mytelase	True
PA165860521	ambrisentan	False
PA164746074	amcinonide|Cyclocort	True
PA164754807	amdinocillin|penicillin hx|Amdinocillin mecillinam|mecillinam|Coactin	True
PA166049186	amfenac	False
PA164712349	Amides	False
PA448365	amifostine|Aminopropylaminoethyl Thiophosphate|Amifostine Ethiofos|Ethiofos|Gammaphos|WR-1065|Apaetp|SAPEP|Ethyol	True
PA164744372	amikacin|Amikacin Base|Amikacinum [INN-Latin]|Amikacin Sulfate|Amikacina [INN-Spanish]|Amikacine [INN-French]|ANTIBIOTIC BB-K8|BB-K8|Amikacin Dihydrate|Amikavet|Amiglyde-V|Amicacin|Briclin|Amikin	True
PA448368	amiloride|Amilorida [INN-Spanish]|AMR|Amiloridum [INN-Latin]|Amyloride|Amiloride HCL|Amiloride hydrochloride|Amiloride hydrochloride hydrate|Amipramizide|Guanamprazine|Amipramidin|Guanamprazin|Midamor|Amipramizid|Amiprazidine	True
PA448372	amino acids	True
PA164712351	Amino acids and derivatives	False
PA164712352	Amino acids, incl. combinations with polypeptides	False
PA164712353	Amino acids/carbohydrates/minerals/vitamins, combinations	False
PA164712354	Aminoalkyl ethers	False
PA10247	aminobenzoic acid	False
PA164774947	aminocaproic acid|ACS|6-aminohexanoic acid|epsilon-amino caproic acid|Aminocaproic|epsilon-ahx|Aminocaproate|e-aminocaproic acid|Afibrin|Amikar|Capracid|Ipsilon|Aminokapron|Amicar|Epsilcapramine|Hemopar|Acepramine|Caprolisin|Respramin|EACA|Caplamin|Atsemin|Acepramin|Hemocaprol|Caprocid|Epsikapron|EACS|Epsicapron|Capranol|Capramol|Epsilcapramin|Epsamon|Hepin	True
PA448375	aminoglutethimide|Dl-Aminoglutethimide|P-Aminoglutethimide|Orimeten|Cytadren|Elipten	True
PA452167	aminoglycoside antibacterials	False
PA134711723	aminohippurate|Sodium para-Aminohippurate|Aminohippuric acid|para-Aminohippurate|Sodium p-aminohippurate|Aminohippuric acid Sodium salt|PAH|Aminohippurate Sodium	True
PA10015	aminolevulinic acid|Aminolevulinate|ALA|5-aminolevulinic acid|delta-Aminolevulinic acid|Aladerm|Levulan Kerastick|Levulan|Kerastick	True
PA164748135	aminophenazone|4-Dimethylaminoantipyrine|Dipyrine|Aminopyrine	False
PA164781029	aminophylline|Aminophylline Anhydrous|Aminophylline Dye Free|Aminophyllin|Aminophylline Dihydrate|Aminodur|Methophylline|Theophyllin Ethylenediamine|Somophyllin O|Grifomin|Cariomin|Dobo|Somophyllin|Stenovasan|Neophyiline|Eurphyllin|Theophyline Ethylenediamine|Truphylline|Theolone|Diaphylline|Metaphylline|Lasodex|Rectalad Aminophylline|Ethophylline|Theodrox|Theophyldine|Variaphylline|Norofilina|Cardophyllin|Theophyllamine|Theophyllin Aethylendiamin|Cardiofilina|Carena|Metaphyllin|Vasofilina|Theophyllaminum|Euufillin|Theophylline Ethylenediamine|Syntophyllin|Ammophyllin|Inophylline|Phyllocontin|Rectalad-Aminophylline|Cardiomin|Thephyldine|Diophllin|Diuxanthine|Theolamine|Minaphil|Peterphyllin|Phyllocontin-350|Linampheta|Lixaminol|Dura-Tab S.M. Aminophylline|Phylcardin|Phyllindon|Cardophylin|Somophyllin-O|Etilen-Xantisan Tabl.|Aminocardol|Genophyllin|Miofilin	True
PA165109541	aminopterin|4-Aminopteroyl-L-glutamic acid|Aminopterin sodium|4-Aminofolic acid|Aminopteroylglutamic acid	False
PA164712355	Aminoquinolines	False
PA448382	aminosalicylic acid|Para-aminosalicylic acid|PAS|4-ASA|Para-Amino Salicylic Acid|Amino-PAS|P-Aminosalicylic Acid|PASK|4-aminosalicylic acid|Aminosalicylate Sodium|APAS|Kyselina P-Aminosalicylova|Pasnodia|Pasolac|Aminox|Neopasalate|Propasa|Sanipirol-4|Pamisyl|Apacil|Pamacyl|Parasalindon|Sanipriol-4|Ferrosan|Pascorbic|Pasmed|Pasara|Aminopar|Rezipas|Pasdium|Paramycin|Deapasil|Osacyl|Gabbropas|Parasal|Parasalicil|Pasalon|Para-Pas|Pasa|Paser|Entepas|Hellipidyl|PAS-C|Pasem	True
PA164712356	Aminosalicylic acid and derivatives	False
PA164712357	Aminosalicylic acid and similar agents	False
PA448383	amiodarone|Amiodarona [INN-Spanish]|Amiodarone Base|Amiodaronum [INN-Latin]|Amiodarone HCL|Amiodarone Hydrochloride|Aminodarone|pms-Amiodarone|Cordarone Intravenous|Cordarone|Arycor|Amiodarons|Pacerone|Aratac|Labaz|Amio-Aqueous IV	True
PA162565877	amisulpride|Aminosultopride|Deniban|Solian	False
PA448385	amitriptyline|Amitriptylin|Amitriptyline Hydrochloride|Amitryptiline|Amitriptyline HCL|Amitryptyline|Amytriptiline|Amitriprolidine|Elavil|Hexathane|Elanil|Triptilin|Amitril|Triptisol|Amitid|Triptanol|Redomex|Tryptanol|Tryptizol|Laroxil|Adepress|Lentizol|Endep|Horizon|Sylvemid|Damilan|Proheptadiene|Damilen|Laroxyl|dAmitriptyline|Lantron|Saroten|Seroten|Sarotex|Adepril|Flavyl	True
PA164745310	amlexanox|Amlexanox [USAN:INN:JAN]|Amlexanoxum [Latin]|Amlexanoxo [Spanish]|Amlenanox|Aphthasol|Amoxanox|Elics|Solfa|OraDisc	True
PA448388	amlodipine|Amlodipine Benzenesulfonate|Amlodipino [Spanish]|Amlodipine Besylate|Amlodipinum [Latin]|Amlodipine Besilate|Amlodipine Free Base|Norvasc|Lipinox|Amlodis|Amvaz|Amlocard|Lotrel|Coroval	True
PA448392	ammonium chloride	True
PA165958400	ammonium lactate|ammonium (+-)-lactate|lactic acid ammonium salt|Laclotion|Lac-Hydrin	True
PA448401	amobarbital|Isomytal	False
PA448404	amodiaquine|Amodiaquine, ring-closed|Amodiaquin|amodiaquine hydrochloride|Amodiaquine USP24|Flavoquin|CAM-AQI|Camoquinal|Camoquin|Camoquin HCL|Flavoquine|Miaquin|Camoquine|Basoquin|CAM-AQ1|Camochin	False
PA448405	amoxapine|Amoxepine|Ascendin|Asendis|Demolox|Defanyl|Moxadil	True
PA448406	amoxicillin|Amoxycillin Trihydrate|Amoxicillin Trihydrate|Amoxicillin anhydrous|Amoxycillin|Amoxicilina [INN-Spanish]|p-Hydroxyampicillin|AMC|Amoxicillinum [INN-Latin]|D-Amoxicillin|Amoxicilline [INN-French]|AMPC|Robamox|Lamoxy|Vetramox|Zimox|Delacillin|Sawamox PM|Amoxil|Amopen|Bristamox|Unicillin|Amoxi-Mast|Histocillin|Moxacin|Amoxiden|Anemolin|Moxal|Amolin|Efpenix|Amoxi|Utimox|Amopenixin|Wymox|Tolodina|Sumox|Flemoxin|Metafarma capsules|Piramox|Dispermox|Ospamox|Imacillin|Trimox|Aspenil|Hiconcil|Actimoxi|Pamoxicillin|Polymox|Amoxibiotic|Metifarma capsules|Ibiamox|Amoclen|Biomox|Cemoxin|Amoxivet|Clamoxyl	True
PA164712358	Amphenicols	False
PA448408	amphetamine|Phenylisopropylamine|dl-1-Phenyl-2-aminopropane|(+/-)-Benzedrine|3-Methoxyphenylisopropylamine|3-Methoxy-a-methylbenzeneethanamine|Fenylo-izopropylaminyl|dl-Amphetamine|[1-(3-Methoxyphenyl)-2-propyl]amine|Amphetamine Sulfate|Methamphetamine HCL|(+/-)-beta-Phenylisopropylamine|dl-Benzedrine|m-Methoxyamphetamine|1-Phenyl-2-aminopropane|1-Methyl-2-phenylethylamine|m-Methoxy-a-methylphenethylamine|DL-alpha-Methylphenethylamine|beta-phenyl-isopropylamine|Amfetamine|alpha-Methylbenzeneethaneamine|beta-Aminopropylbenzene|(+/-)-Desoxynorephedrine|3-Methoxyamphetamine|Benzebar|Profamina|Benzedrine|Dexedrine|Actedron|Paredrine|Norephedrane|Oktedrin|Fenamin|Adipan|Methampex|Sympamin|Dextrostat|Psychedrine|Dexampex|Simpatedrin|Anorexine|Elastonon|Ortedrine|Phenedrine|Ferndex|Finam|Mecodrin|Weckamine|Percomon|Anorexide|Novydrine|Phenamine|Allodene|Sympamine|Isomyn|Isoamyne|Simpatina|Raphetamine|Sympatedrine|Propisamine|Desoxyn|Benzolone|Isoamycin|Rhinalator	True
PA448415	amphotericin b|Amphotericine B|AMPH-B|Amphortericin B|amphotericin B|Liposomal Amphotericin B|LNS-AmB|Amphocin|Tegopen|Amphotericin|HSDB 3008 IAB|ABLC|Amphotec|Ampho-Moronal|Halizon|IAB|Fungilin|Amphozone|Mysteclin-F|AmBisome|AmB|SinuNase|Fungizone Intravenous|Fungisone|Abelcet|Fungizone	True
