	0	1	Indication	ICD9	ICD10
10	D0Q5IN	Lindane; Aalindan; Aficide; Agrocide; Agronexit; Ameisenatod; Ameisentod; Aparasin; Aphtiria; Aphtitria; Aplidal; Arbitex; BBH; Benhexachlor; Benhexol; Benzanex; Benzex; Bexol; Celanex; Chloresene; Codechine; Devoran; Dolmix; Entomoxan; Esoderm; Exagama; Forlin; Gallogama; Gamacarbatox; Gamacid; Gamacide; Gamaphex; Gamene; Gamiso; Gammahexa; Gammahexane; Gammalin; Gammasan; Gammaterr; Gammex; Gammexane; Gammopaz; Gamtox; Geobilan; Gexane; Gyben; HCH; Hcch; Heclotox; Hecoltox; Hexa; Hexablanc; Hexachlor; Hexachloran; Hexachlorane; Hexamul; Hexapoudre; Hexatox; Hexaverm; Hexcidum; Hexicide; Hexit; Hexyclan; Hilbeech; Hortex; Inexit; Isatox; Isotox; Jacutin; Kokotine; Kwell; Lasochron; Lendine; Lentox; Lidenal; Lindafor; Lindagam; Lindagrain; Lindagranox; Lindalo; Lindamul; Lindan; Lindano; Lindanum; Lindapoudre; Lindaterra; Lindatox; Lindex; Lindosep; Lintox; Linvur; Lorexane; Mszycol; Nexit; Nicochloran; Novigam; Novigan; Omnitox; Ovadziak; Owadziak; PLK; Pedraczak; Pflanzol; Quellada; Scabene; Silvanol; Streunex; Submar; Viton; Agrocide III; Agrocide WP; Am eisenatod; Arcotal S; BHCor HCH; Borer Spray; DOL GRANULE; Eso derm; Gamma BHC; HCH [BSI]; HCH [ISO]; Hilbeec h; Isot ox; Lacco HI lin; Lindam ul; Mglawik L; New kotol; Nexen fb; PMS Lindane; Sang gamma; Agrocide 2; Agrocide6G; Agrocide 7; Bentox 10; Detox 25; Gamacide 20; Gammalin 20; Geolin G 3; Hungaria L7; Latka 666; Milbol 49; PS71_SUPELCO; TAP 85; Agrisol G-20; Alpha-BHC; Alpha-HCH; Ben-Hex; Beta-BHC; Beta-HCH; Beta-Lindane; Beta-isomer; D-BHC; Delta-BHC; Delta-HCH; ENT 7,796; ENT 8,601; ENT 9,232; ENT 9,233; ENT 9,234; Epsilon-HCH; Forst-nexen; Gamma-BHC; Gamma-HCH; Gamma-col; HCH (alpha); HCH (beta); KWELL (TN); Kwell-R; Nexen-fb; Nexi t-stark; Nexit-stark; Nexol-E; Sang-gamma; T-HCH; TRI-6; Trives-T	Infestations of lice and scabies	132.0, 133.0	B85.0, B86
11	D0B9GH	Sodium chromoglycate; Aarane; Intal; Sodium chromoglycate, sanofi-aventis	Asthma		J45
12	D0L4JT	Sulfanilamide; AAS; AVC; Albexan; Albosal; Ambeside; Antistrept; Astreptine; Astrocid; Bacteramid; Bactesid; Collomide; Colsulanyde; Copticide; Deseptyl; Desseptyl; Dipron; Ergaseptine; Erysipan; Estreptocida; Exoseptoplix; Gerison; Gombardol; Infepan; Lusil; Lysococcine; Neococcyl; Orgaseptine; PABS; Prontalbin; Prontylin; Proseptal; Proseptine; Proseptol; Pysococcine; SAN; Sanamid; Septanilam; Septinal; Septolix; Septoplex; Septoplix; Solfanilamide; Stramid; Strepamide; Strepsan; Streptagol; Streptamid; Streptamin; Streptasol; Streptocid; Streptocide; Streptocidum; Streptoclase; Streptocom; Streptol; Strepton; Streptopan; Streptosil; Streptozol; Streptozone; Streptrocide; Sulfamidyl; Sulfamine; Sulfana; Sulfanalone; Sulfanidyl; Sulfanil; Sulfanilamida; Sulfanilamidum; Sulfocidin; Sulfocidine; Sulfonamide; Sulfonylamide; Sulphanilamide; Sulphonamide; Therapol; Tolder; Prontosil Album; Prontosil I; Prontosil White; Pronzin Album; Rubiazol A; Septamide Album; Solfanilamide [DCIT]; Stopton Album; Streptocid album; Streptocide White; Sulfanilamide Vaginal Cream; Sulfanilimidic acid; Sulfonamide P; Sulphanilamide Extra Pure; Sulphanilamide Gr; White streptocide; F 1162; Fourneau 1162; Ro13354; A-349; AVC (TN); Aromatic/heteroaromatic sulfonamide 2; F-1162; P-Aminobenzenesulfamide; P-Aminobenzenesulfonamide; P-Aminobenzenesulfonylamide; P-Aminobenzensulfonamide; P-Aminophenylsulfonamide; P-Anilinesulfonamide; P-Sulfamidoaniline; P-Sulfamoylaniline; Streptocid (TN); Streptocide (VAN); Sulfanilamida [INN-Spanish]; Sulfanilamide (INN); Sulfanilamide [INN:DCF]; Sulfanilamidum [INN-Latin]; Aniline-p-sulfonic amide; I.C. 56; BENZENESULFONIC ACID,4-AMINO,AMIDE SULFANILAMIDE; N4,N4-Bis(2-bromoethyl)sulfanilamide;N(sup 4),N(sup 4)-Bis(2-bromoethyl)sulfanilamide; N(sup4),N(sup4)-Bis(2-bromoethyl)sulfanilamide; Benzenesulfonamide, 4-(bis(2-bromoethyl)amino)-(9CI); Sulfanilamide, N4,N4-bis(2-bromoethyl)-(8CI); 1162 F; 4-(Bis(2-bromoethyl)amino)benzenesulfonamide; 4-Aminobenzene-1-Sulfonamide; 4-Aminobenzenesulfonamide; 4-Aminophenylsulfonamide; 4-Sulfamoylaniline; 4-[bis(2-bromoethyl)amino]benzenesulfonamide	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
13	D04NXQ	Pefloxacin; Abactal; Labocton; PERFLOXACIN; PFLX; Peflacine; Pefloxacine; Pefloxacino; Pefloxacinum; Pefloxacin methanesulfonate; Silver Pefloxacin; AM-725; EU-5306; Pefloxacin [INN-French]; Pefloxacino [INN-Spanish]; Pefloxacinum [INN-Latin]; Pefloxacin (USAN/INN); Pefloxacin [USAN:BAN:INN]; 1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(4-methyl-1-piperazinyl)-3-quinolinecarboxylic acid; 1-Ethyl-6-fluoro-1,4-dihydro-7-(4-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid; 1-ethyl-6-fluoro-7-(4-methyl-1-piperazinyl)-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid; 1-ethyl-6-fluoro-7-(4-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid; 1-ethyl-6-fluoro-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid; 3-Quinolinecarboxylic acid, 1-ethyl-6-fluoro-1,4-dihydro-7-(4-methyl-1-piperazinyl)-4-oxo	Gonococcal urethritis	98	A54
14	D0N3PE	Guanethidine; Abapresin; Dopam; Dopom; Eutensol; Guanethidinum; Guanetidina; Ismelin; Isobarin; Octadin; Octadine; Octatensin; Octatensine; Oktadin; Oktatensin; Oktatenzin; Sanotensin; Guanethidine Sulphae; Guanethidine sulfate; Ismelin sulfate; Apo-Guanethidine; Guanethidine (INN); Guanethidine [INN:BAN]; Guanethidinum [INN-Latin]; Guanetidina [INN-Spanish]; Apo-Guanethidine (TN); Beta-1-Azacyclooctylethylguanidine; Guanethidine Sulfate (1:1); Guanethidine Sulfate (2:1); Su 5864 sulfate (1:1); N-(2-Perhydroazocin-1-ylethyl)guanidine; ((2-Hexahydro-1(2H)-azocinyl)ethyl)guanidine; (2-(Octahydro-1-azocinyl)ethyl)guanidine; 1-(2-azocan-1-ylethyl)guanidine; 1-[2-(azocan-1-yl)ethyl]guanidine; 2-(1'-Azacyclooctyl)ethylguanidine; 2-(1-N,N-Heptamethyleneimino)ethylguanidine; 2-[2-(azocan-1-yl)ethyl]guanidine	Moderate and severe hypertension		I10-I16
15	D0AO5H	Trimethoprim; Abaprim; Alprim; Anitrim; Antrima; Antrimox; Bacdan; Bacidal; Bacide; Bacin; Bacta; Bacterial; Bacticel; Bactin; Bactoprim; Bactramin; Bencole; Bethaprim; Biosulten; Briscotrim; Chemotrin; Cidal; Colizole; Conprim; Cotrimel; Deprim; Duocide; Esbesul; Espectrin; Euctrim; Exbesul; Fermagex; Fortrim; Futin; Idotrim; Ikaprim; Instalac; Kombinax; Lagatrim; Lastrim; Methoprim; Metoprim; Monoprim; Monotrim; Monotrimin; Novotrimel; Omstat; Oraprim; Pancidim; Polytrim; Priloprim; Primosept; Primsol; Proloprim; Protrin; Purbal; Resprim; Roubac; Roubal; Salvatrim; Setprin; Sinotrim; Stopan; Streptoplus; Sugaprim; Sulfamar; Sulfamethoprim; Sulfoxaprim; Sulmeprim; Sulthrim; Sultrex; Syraprim; Tiempe; Toprim; Trimanyl; Trimethioprim; Trimethoprime; Trimethoprimum; Trimethopriom; Trimetoprim; Trimetoprima; Trimexazole; Trimexol; Trimezol; Trimogal; Trimono; Trimopan; Trimpex; Triprim; Trisul; Trisulcom; Trisulfam; Trisural; Uretrim; Urobactrim; Utetrin; Velaten; Wellcoprim; Wellcoprin; Xeroprim; Zamboprim; Bacterial [Antibiotic]; Colizole DS; Component of Bactrim; Component of Septra; Lagatrim Forte; ResprimForte; Septrin DS; Septrin Forte; Septrin S; Trimetoprim [DCIT]; Trimetoprim [Polish]; BW 5672; KUC103659N; NIH 204; T 7883; Trimpex 200; WR 5949; Alcorim-F; Apo-Sulfatrim; BW 56-72; Co-Trimoxizole; Monotrim (TN); NIH 204 (VAN); Proloprim (TN); Smz-Tmp; Sulfamethoxazole & Trimethoprim; TCMDC-125538; Tmp-Ratiopharm; Trimeth/Sulfa; Trimethopim(TMP); Trimethoprim & VRC3375; Trimethoprime [INN-French]; Trimethoprimum [INN-Latin]; Trimetoprima [INN-Spanish]; Trimez-IFSA; Trimpex (TN); Triprim (TN); U-Prin; Uro-D S; BW-56-72; KSC-4-158; TMP/SMX (MIXTURE)); AZT + TMP/SMX (mixture) combination; Trimethoprim (JAN/USP/INN); Trimethoprim [USAN:BAN:INN:JAN]; TMP	Urinary tract infections	599	N39.0
16	D05LYX	Glibenclamide; Abbenclamide; Adiab; Azuglucon; Bastiverit; Benclamin; Betanase; Calabren; Cytagon; Daonil; Debtan; Diabeta; Diabiphage; Dibelet; Duraglucon; Euclamin; Euglucan; Euglucon; Euglykon; Gewaglucon; Gilemal; Glamide; Glibadone; Gliban; Gliben; Glibenbeta; Glibenclamida; Glibenclamidum; Glibenil; Glibens; Glibesyn; Glibet; Glibetic; Glibil; Gliboral; Glicem; Glidiabet; Glimel; Glimide; Glimidstata; Glisulin; Glitisol; Glubate; Gluben; Glucobene; Glucohexal; Glucolon; Glucomid; Glucoremed; Glucoven; Glyben; Glybenclamide; Glybenzcyclamide; Glyburide; Glycolande; Glycomin; Glynase; Hexaglucon; Humedia; Lederglib; Libanil; Lisaglucon; Maninil; Melix; Micronase; Miglucan; Nadib; Neogluconin; Normoglucon; Orabetic; Pira; Praeciglucon; PresTab; Prodiabet; Renabetic; Sugril; Suraben; Tiabet; Yuglucon; Euglucon N; Glibenclamid AL; Glibenclamid Basics; Glibenclamid Fabra; Glibenclamid Genericon; Glibenclamid Heumann; Glibenclamid Riker M; Glyburide [USAN]; Micronized glyburide; Betanese 5; Euglucon 5; G 0639; GBN 5; HB 419; HB 420; HB419; HB420; Norglicem 5; U 26452; UR 606; Apo-Glibenclamide; Daonil (TN); Dia-basan; Diabeta (TN); Euglucon (TN); Gen-Glybe; Gliben-Puren N; Glibenclamid Riker M.; Glibenclamid-Cophar; Glibenclamid-Ratiopharm; Glibenclamida [INN-Spanish]; Glibenclamidum [INN-Latin]; Gluco-Tablimen; Glyburide (USP); Glyburide (micronized); Glynase (TN); HB-419; HB-420; Hemi-Daonil; Med-Glionil; Micronase (TN); Novo-Glyburide; Semi-Euglucon; Semi-daonil; U-26452; Glibenclamide (JP15/INN); Semi-Daonil (TN); Semi-Gliben-Puren N; N-p-[2-(5-Chloro-2-methoxybenzamido)ethyl]benzenesulfonyl-N'-cyclohexylurea; N-p-[2-(5-Chloro-2-methoxybenzamido)-ethyl]benzene-sulfonyl-N-cyclohexylurea; N-(4-(2-(5-Chloro-2-methoxybenzamido)ethyl)phenylsulfonyl)-N'-cyclohexylurea; 1-((p-(2-(5-Chloro-o-anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea; 1-(p-(2-(5-Chloro-2-methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea; 5-Chloro-N-[4-(cyclohexylureidosulfonyl)phenethyl]-2-methoxybenzamide; 5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide	Diabetes	253.5, 588.1	E23.2, N25.1
17	D0EP0C	Spironolactone; Abbolactone; Acelat; Aldace; Aldactazide; Aldactide; Aldactone; Alderon; Aldopur; Almatol; Altex; Aquareduct; Deverol; Diatensec; Dira; Duraspiron; Espironolactona; Euteberol; Flumach; Frumikal; Jenaspiron; Lacalmin; Lacdene; Laractone; Melarcon; Nefurofan; NovoSpiroton; Osyrol; Practon; SNL; Sagisal; Sincomen; Spiractin; Spiresis; Spiretic; Spiridon; Spirobeta; Spiroctan; Spiroctanie; Spiroderm; Spirogamma; Spirolactone; Spirolakton; Spirolang; Spirolone; Spirone; Spironocompren; Spironolactonum; Spironolattone; Spironone; Spirospare; Sprioderm; Suracton; Uractone; Urusonin; Veroshpiron; Verospiron; Verospirone; Xenalon; Aldactone A; Alphapharm Brand of Spironolactone; Alpharma Brand of Spironolactone; Alter Brand of Spironolactone; Ashbourne Brand of Spironolactone; Azupharma Brand of Spironolactone; Betapharm Brand of Spironolactone; Cardel Brand of Spironolactone; Ct Arzneimittel Brand of Spironolactone; Dexo Brand of Spironolactone; Espironolactona Alter; Espironolactona Mundogen; Generosan Brand of Spironolactone; Hormosan Brand of Spironolactone; Jenapharm Brand of Spironolactone; Merck dura Brand of Spironolactone; Mundogen Brand of Spironolactone; Novo Spiroton; Novopharm Brand of Spironolactone; Pfizer Brand of Spironolactone; Pharmafrid Brand of Spironolactone; Roche Brand of Spironolactone; Searle Brand of Spironolactone; Spiro von ct; Spirono Isis; Spironolactone A; Spironolattone [DCIT]; Verospirone Opianin; Worwag Brand of Spironolactone; LT00772287; SC 9420; SC9420; Aldactazide (TN); Aldactone (TN); Berlactone (TN); Ct-Arzneimittel Brand of Spironolactone; Espironolactona [INN-Spanish]; Mayoly-Spindler Brand of Spironolactone; Novo-Spiroton; SC-9420; Spiractin (TN); Spiro-Tablinen; Spirono-Isis; Spironolactonum [INN-Latin]; Spirotone (TN); Supra-puren; Verospiron (TN); Von ct, spiro; Novo-Spiroton (TN); Spironolactone [BAN:INN:JAN]; Spironolactone [INN:BAN:JAN]; Spiro L.U.T.; Spironolactone (JP15/USP/INN); Spiro[17H-cyclopenta[a]phenauthrene-17,2'-(3'H)-furan]; Spiro(17H-cyclopenta(a)phenauthrene-17,2'-(3'H)-furan); 4-Pregnen-21-oic acid-17alpha-ol-3-one-7alpha-thiol gamma-lactone 7-acetate; 7-alpha-Acetylthio-3-oxo-17-alpha-pregn-4-ene-21,17-beta-carbolactone; 7alpha-(acetylsulfanyl)-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone	Congestive heart failure	428	I50
18	D0Z1ZM	Clarithromycin; Abbotic; Adel; Astromen; Biaxin; Bicrolid; CTY; Clacine; Clambiotic; Claribid; Claricide; Clarith; Clarithromycina; Clarithromycine; Clarithromycinum; Claritromicina; Clathromycin; Cyllid; Cyllind; Helas; Heliclar; Klacid; Klaciped; Klaricid; Klarid; Klarin; Klax; Kofron; Mabicrol; Macladin; Maclar; Mavid; Naxy;Veclam; Zeclar; Biaxin HP; Biaxin XL; Biaxin filmtab; Biaxin xl filmtab; Clarithromycin extended release; Clarithromycin suspension or tablets; Klaricid Pediatric; Klaricid XL; TE031; A-56268; ANX-015; Abbott-56268; Biaxin (TN); Clacid (TN); Claridar (TN); Claripen (TN); Clarithromycine [INN-French]; Clarithromycinum [INN-Latin]; Claritromicina [INN-Spanish]; Crixan (TN); DRG-0099; Fromilid (TN);Infex (TN); Klabax (TN); Klaricid (TN); Klaricid H.P; Lactoferrin B & Clarithromycin; Lactoferrin H & Clarithromycin; SDP-015; TE-031; Vikrol (TN); CLM & IL-12; CRL-1605 & Clarithromycin; Clarithromycin & Interleukin-12; Klaricid H.P.; O(6)-methylerythromycin; Clarithromycin (JP15/USP/INN); Clarithromycin [USAN:INN:BAN:JAN]; Hydro-2H-pyran-2-yl]oxy}-7-methoxy-3,5,7,9,11,13-hexame; (14R)-14-Hydroxyclarithromycin; 6-O-Methylerythromycin; 6-O-Methylerythromycin a	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
19	D02YIZ	Erythromycin; Abboticin; Abomacetin; Acneryne; Acnesol; Aknemycin; Aknin; AustriaS; Benzamycin; Derimer; Deripil; Dotycin; Dumotrycin; ERY; ERYC; Emgel; Emuvin; Emycin; Endoeritrin; Erecin; Erisone; Eritomicina; Eritrocina; Eritromicina; Ermycin; Eros; Eryacne; Eryacnen; Erycen; Erycette; Erycin; Erycinum; Eryderm; Erydermer; Erygel; Eryhexal; Erymax; Erymed; Erysafe; Erytab; Erythro; Erythroderm; Erythrogran; Erythroguent; Erythromid; Erythromycine; Erythromycinum; Erytop; Erytrociclin; Ilocaps; Iloticina; Ilotycin; Inderm; IndermRetcin; Latotryd; Lederpax; Mephamycin; Mercina; Oftamolets; Paediathrocin; Pantoderm; Pantodrin; Pantomicina; Pharyngocin; Primacine; Propiocine; Proterytrin; Retcin; Robimycin; Romycin; Sansac; Staticin; Stiemicyn; Stiemycin; Tiloryth; Tiprocin; Torlamicina; Wemid; Akne Cordes Losung; Aknederm Ery Gel; Benzamycin Pak; ERYTHROMYCIN STEARATE; Eryc Sprinkles; Erythromycin A; Erythromycin Lactate; Erythromycin Ointment; Erythromycin base; Erythromycin intravenous; Erythromycin sodium lauryl sulfate; Inderm Gel; Oftalmolosa Cusi Eritromicina; Skid Gel E; Theramycin Z; Udima Ery Gel; E0751; Eryc 125; Erythromast 36; Ak-Mycin; Akne-Mycin; Del-Mycin; E-Base; E-Glades; E-Mycin; E-Solve 2; ERYC (base); Emu-V; Emu-Ve; Erimycin-T; Eritromicina [INN-Spanish]; Ery-B; Ery-Diolan; Ery-Sol; Ery-Tab; Ery-maxin; Eryc (TN); Eryc-125; Eryc-250; Erygel (TN); Erythra-Derm; Erythro-Statin; Erythro-Teva; Erythromycin & VRC3375; Erythromycine [INN-French]; Erythromycinum [INN-Latin]; Ilosone (TN); Ilosone (estolate); Ilotycin T.S; Kesso-Mycin; N-Methylerythromycin A; PCE Dispertab (base); Pce (TN); R-P Mycin; Sans-acne; Staticin (TN); T-Stat; Taimoxin-F; A/T/S; Akne-mycin (TN); C-Solve-2; E-Base (base); E-Mycin (base); Ery-Tab (base); Erythromycin [INN:BAN:JAN]; Ilotycin T.S.; T-stat (TN); E-mycin, Erycin, Robimysin; Erythromycin (JP15/USP/INN); Erythromycin, compd. with monododecyl sulfate, sodium salt; Sulfuric acid, monododecyl ester, sodium salt, compd. with erythromycin; Adecane-2,10-dione (non-preferred name); Erythromycin A, T-Stat, Pantomicina, HSDB 3074, Erytab, DRG-0279; Ery	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
20	D09LDR	Oxazepam; Abboxampam; Abboxapam; Adumbran; Alepam; Ansioxacepam; Anxiolit; Aplakil; Astress; Azutranguil; Azutranquil; Bonare; Drimuel; Droxacepam; Durazepam; Hilong; Isodin; Lederpam; Limbial; Murelax; Nesontil; Noctazepam; Nortemazepam; Nozepam; Ossazepam; Oxanid; Oxazepamum; Oxazipam; Oxozepam; Pacienx; Praxiten; Propax; Psicopax; Psiquiwas; QUEN; Quilibrex; Rondar; Sedigoa; Serax; Serenal; Serenid; Serepax; Seresta; Serpax; Sigacalm; Sobril; Tacepam; Tarchomin; Tazepam; Uskan; Vaben; Zaxopam; Anxiolit retard; Ossazepam [DCIT]; P acienx; CB 8092; DF2371850; O5254_SIGMA; Wy 3498; Z 10 tr; Alepam (TN); Apo-astress; Hi-Long; Medopam (TN); Murelax (TN); N-Desmethyltemazepam; Noripam (TN); Oxa-puren; Oxazepamum [INN-Latin]; Purata (TN); Ro 5-6789; Serax (TN); Serenid-D; Serepax (TN); WY-3498; Wy-3498 stic; Z10-Tr; Ox-Pam (TN); Tranquo-buscopan-wirkstoff; Oxazepam (JAN/USP/INN); Oxazepam [USAN:INN:BAN:JAN]; (+-)-7-Chloro-1,3-dihydro-3-hydroxy-5-phenyl-2H-1,4-benzodiazepin-2-one; (+-)-Oxazepam; (RS)-Oxazepam; 1,3-Dihydro-7-chloro-3-hydroxy-5-phenyl-2H-1,4-benzodiazepin-2-one; 1,3-Dihydro-7-chloro-3-hydroxy-5-phenyl-3H-1,4-benzodiazepin-2-one; 7-Chloro-1,3-dihydro-3-hydroxy-5-phenyl-1,4(2H)-benzodiazepin-2-one; 7-Chloro-1,3-dihydro-3-hydroxy-5-phenyl-2H-1,4-benzodiazepin-2-one; 7-Chloro-1,3-dihydro-3-hydroxy-5-phenyl-2H-1,4-benzodiazepine-2-one; 7-Chloro-3-hydroxy-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one; 7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one	Anxiety disorder	300, 311	F32, F40-F42
